Q0085	P00854	0
Q0115	Q9ZZW7	1
Q0120	P03879	2
Q0130	P61829	3
YAL001C	P34111	4
YAL002W	P39702	5
YAL005C	P10591	6
YAL007C	P39704	7
YAL008W	P18411	8
YAL009W	P18410	9
YAL010C	P18409	10
YAL011W	P31376	11
YAL012W	P31373	12
YAL013W	P31385	13
YAL014C	P31377	14
YAL015C	P31378	15
YAL016W	P31383	16
YAL017W	P31374	17
YAL018C	P31379	18
YAL020C	P31386	19
YAL021C	P31384	20
YAL022C	P31381	21
YAL023C	P31382	22
YAL024C	P07866	23
YAL025C	P10962	24
YAL026C	P39524	25
YAL027W	P39735	26
YAL028W	P39734	27
YAL029C	P32492	28
YAL030W	P31109	29
YAL031C	P39732	30
YAL032C	P28004	31
YAL033W	P28005	32
YAL034C	P28003	33
YAL034W-A	P39731	34
YAL035W	P39730	35
YAL036C	P39729	36
YAL037W	P39728	37
YAL038W	P00549	38
YAL039C	P06182	39
YAL040C	P13365	40
YAL041W	P11433	41
YAL042W	P39727	42
YAL043C	Q01329	43
YAL044C	P39726	44
YAL046C	P39724	45
YAL047C	P39723	46
YAL048C	P39722	47
YAL049C	P39721	48
YAL051W	P39720	49
YAL053W	P39719	50
YAL054C	Q01574	51
YAL055W	P39718	52
YAL056W	P39717	53
YAL058W	P27825	54
YAL059W	P39715	55
YAL060W	P39714	56
YAL061W	P39713	57
YAL062W	P39708	58
YAL063C	P39712	59
YAL064C-A	Q6B2U8	60
YAL064W-B	O13512	61
YAL065C	O13511	62
YAL067C	P39709	63
YAL068C	P0CE92	64
YAR002C-A	Q05359	65
YAR002W	P39705	66
YAR003W	P39706	67
YAR007C	P22336	68
YAR008W	P39707	69
YAR014C	P27637	70
YAR015W	P27616	71
YAR018C	P22209	72
YAR019C	P27636	73
YAR023C	D6VPM8	74
YAR027W	P39547	75
YAR028W	P39548	76
YAR031W	P39551	77
YAR033W	P39552	78
YAR035W	P80235	79
YAR042W	P35845	80
YAR050W	P32768	81
YAR061W	P0CX90	82
YAR062W	P0CI66	83
YAR064W	P39563	84
YAR066W	P0CX18	85
YAR068W	P39564	86
YAR071W	P35842	87
YBL001C	P35195	88
YBL002W	P02294	89
YBL003C	P04912	90
YBL004W	P35194	91
YBL005W	Q12490	92
YBL006C	P38210	93
YBL007C	P32790	94
YBL008W	P32479	95
YBL009W	P32789	96
YBL010C	P32788	97
YBL011W	P32784	98
YBL013W	P32785	99
YBL014C	P32786	100
YBL015W	P32316	101
YBL016W	P16892	102
YBL017C	P32319	103
YBL018C	P38208	104
YBL019W	P38207	105
YBL020W	P38206	106
YBL021C	P13434	107
YBL022C	P36775	108
YBL023C	P29469	109
YBL024W	P38205	110
YBL025W	P38204	111
YBL026W	P38203	112
YBL030C	P18239	113
YBL031W	P38200	114
YBL032W	P38199	115
YBL033C	P38066	116
YBL034C	P38198	117
YBL035C	P38121	118
YBL036C	P38197	119
YBL037W	P38065	120
YBL038W	P38064	121
YBL039C	P28274	122
YBL040C	P18414	123
YBL041W	P23724	124
YBL042C	P38196	125
YBL043W	P38195	126
YBL044W	P38194	127
YBL045C	P07256	128
YBL046W	P38193	129
YBL047C	P34216	130
YBL049W	P38191	131
YBL050W	P32602	132
YBL051C	P34217	133
