YLL033W	YPR116W
YDL207W	YER107C
YLR170C	YPR029C
YER155C	YPL210C
YHL030W	YOL133W
YGR116W	YML058W
YDR301W	YOL145C
YNL110C	YNL182C
YIL061C	YLR153C
YBR160W	YLR210W
YLR006C	YNR031C
YDR145W	YHR023W
YNL135C	YPL049C
YHL033C	YJL164C
YGR250C	YPL210C
YDR301W	YER133W
YGR103W	YKL021C
YCR076C	YNL118C
YHR094C	YIR038C
YGR156W	YKR002W
YBR057C	YJL085W
YDR538W	YMR304W
YDL123W	YLL048C
YFR021W	YGL179C
YER133W	YGR156W
YDL123W	YGR163W
YGL016W	YJR121W
YGL035C	YOR351C
YIL143C	YOR352W
YFR004W	YPL192C
YHL042W	YLR018C
YLL016W	YLR310C
YBR193C	YDR308C
YAL035W	YIR001C
YBR207W	YHR094C
YLR265C	YLR424W
YER133W	YMR140W
YGL004C	YOR259C
YBR142W	YDR170C
YHR152W	YLR132C
YGR295C	YLR343W
YDR225W	YOR141C
YER133W	YGR103W
YAR007C	YBR049C
YJL189W	YML065W
YHR066W	YMR290C
YGL059W	YKL181W
YGR142W	YMR197C
YDR252W	YPL037C
YGR295C	YMR221C
YFL039C	YLR337C
YDL007W	YIL075C
YDR335W	YOR359W
YDR318W	YLR381W
YGL244W	YML010W
YCR091W	YNL045W
YLL008W	YLR002C
YBR160W	YFR015C
YDR145W	YNL272C
YBL106C	YKL117W
YIR038C	YML012W
YML058W	YOR351C
YDL168W	YFR004W
YER006W	YKL014C
YLR009W	YMR290C
YBR160W	YDL153C
YJL014W	YKR054C
YBR130C	YHR082C
YDR145W	YJR060W
YBR107C	YDR318W
YDL007W	YKL049C
YFR052W	YOR362C
YGL141W	YKL021C
YBR023C	YKR027W
YDR016C	YLR117C
YDR064W	YFR004W
YGL141W	YJR059W
YJL117W	YLR018C
YAL013W	YBR095C
YGL105W	YHR082C
YDR069C	YMR304W
YLL019C	YOR201C
YJR066W	YMR011W
YEL013W	YFL039C
YEL005C	YLR408C
YBR017C	YHR200W
YAR007C	YDR129C
YKL064W	YNL307C
YBR136W	YIR009W
YDL188C	YPL235W
YCR091W	YGL245W
YFR004W	YHR200W
YGL055W	YML012W
YAL028W	YOR254C
YFR004W	YJL052W
YHR200W	YNL239W
YER032W	YHR114W
YDR473C	YPL004C
YER179W	YMR224C
YAL035W	YJR007W
YDR225W	YER148W
YCL010C	YGR252W
YER133W	YFR004W
YER126C	YLR009W
YDR229W	YPR152C
YHR089C	YML065W
YDL031W	YNL182C
YIL004C	YLR093C
YER120W	YFR004W
YDR100W	YFR024C-A
YGL003C	YJL106W
YCR072C	YHR052W
YDR129C	YNL138W
YBR142W	YKL021C
YHR023W	YKL049C
YAL027W	YOL086C
YFR024C-A	YJL004C
YHR170W	YNL227C
YGR052W	YNL006W
YCR053W	YFR004W
YDL164C	YKL113C
YBL047C	YOL016C
YDR064W	YKL014C
YFR004W	YLR044C
YIL171W	YJR117W
YGL233W	YJL036W
YLR310C	YNL025C
YBR011C	YPL111W
YGR030C	YIR015W
YEL013W	YOR316C
YJR059W	YKL181W
YDR314C	YHR029C
YLR216C	YNL278W
YBR254C	YGR143W
YGL179C	YNL293W
YGL066W	YMR186W
YML037C	YNL307C
YER148W	YHR200W
YIL106W	YKL126W
YIL061C	YML046W
YBL072C	YOL123W
YDL207W	YGR192C
YDR225W	YPL043W
YGL134W	YOR178C
YER179W	YLR067C
YBL002W	YPL001W
YDL168W	YMR290C
YDL147W	YOR259C
YDL159W	YDR356W
YFL026W	YJR066W
YKL143W	YNL207W
YER126C	YPL093W
YMR315W	YNL135C
YDL028C	YIL144W
YDL095W	YFR004W
YER148W	YLR418C
YBR160W	YCL063W
YGL245W	YPR152C
YCR072C	YDL191W
YCL024W	YPL093W
YGR275W	YMR131C
YMR165C	YOR351C
YLL050C	YNL138W
YAR027W	YHR048W
YER006W	YFR031C-A
YKL079W	YNL272C
YJL164C	YNR019W
YNL041C	YOR304C-A
YDR427W	YER021W
YJR091C	YLR156W
YDR308C	YGL025C
YER068W	YJL050W
YER167W	YER177W
YDL213C	YNL061W
YER125W	YJL164C
YKL049C	YPR091C
YDL224C	YIL038C
YHR170W	YPL093W
YDL028C	YNL116W
YML057W	YPR108W
YDR099W	YJL141C
YOR294W	YPL180W
YJL039C	YOL086C
YDR027C	YOR036W
YGR142W	YJR127C
YDR279W	YGR262C
YER021W	YGL004C
YGL059W	YNR039C
YCR035C	YOR076C
YBL087C	YNL110C
YML085C	YOR136W
YDR473C	YLR147C
YBR194W	YNL138W
YBL039C	YGL081W
YBR193C	YDL005C
YCR073W-A	YOR351C
YER054C	YJL164C
YJR076C	YNL166C
YOL086C	YOR357C
YDL188C	YOR362C
YCR093W	YDR378C
YJL146W	YPL154C
YJL164C	YLR173W
YDL007W	YKL145W
YDR074W	YHR082C
YGL108C	YOL003C
YGL172W	YJL057C
YER148W	YMR236W
YER015W	YLR098C
YEL034W	YOL133W
YDR477W	YHR189W
YIL142W	YJL014W
YBL072C	YFR004W
YDL025C	YPL093W
YFR004W	YNL141W
YML012W	YPR181C
YBR199W	YOL018C
YBR105C	YIL097W
YDL147W	YHR200W
YKL068W	YPL012W
YAL021C	YLR418C
YJL173C	YMR234W
YGR100W	YJR059W
YJR045C	YLR203C
YFR004W	YHL030W
YMR186W	YNL157W
YER074W	YFR004W
YHR062C	YNL282W
YDL239C	YOR304C-A
YMR174C	YPL154C
YLL049W	YMR294W
YGR030C	YHR062C
YJL164C	YKL062W
YGR209C	YLL060C
YFR052W	YOR181W
YER148W	YPL049C
YMR186W	YNL186W
YBL050W	YLR268W
YKL171W	YPR160W
YGL190C	YPR154W
YBR194W	YIL148W
YMR191W	YOR259C
YGL179C	YLR276C
YBR253W	YHL033C
YBR278W	YCL032W
