Complex_ID,Complex_Size,Complex_Score,Complex_Overlap_Score,Protein_ID,Protein_Name
Complex_13,20,0.9825,0.7529,54,YBR154C
Complex_13,20,0.9825,0.7529,798,YOR210W
Complex_13,20,0.9825,0.7529,897,YPR187W
Complex_13,20,0.9825,0.7529,884,YPR110C
Complex_13,20,0.9825,0.7529,800,YOR224C
Complex_13,20,0.9825,0.7529,702,YNL151C
Complex_13,20,0.9825,0.7529,899,YPR190C
Complex_13,20,0.9825,0.7529,304,YGL133W
Complex_13,20,0.9825,0.7529,153,YDR121W
Complex_13,20,0.9825,0.7529,508,YKL144C
Complex_13,20,0.9825,0.7529,520,YKR025W
Complex_13,20,0.9825,0.7529,141,YDR045C
Complex_13,20,0.9825,0.7529,797,YOR207C
Complex_13,20,0.9825,0.7529,127,YDL150W
Complex_13,20,0.9825,0.7529,445,YJL011C
Complex_13,20,0.9825,0.7529,135,YDR005C
Complex_13,20,0.9825,0.7529,696,YNL113W
Complex_14,15,0.9823,0.6667,120,YDL111C
Complex_14,15,0.9823,0.6667,177,YDR280W
Complex_14,15,0.9823,0.6667,898,YPR189W
Complex_14,15,0.9823,0.6667,347,YGR158C
Complex_14,15,0.9823,0.6667,337,YGR095C
Complex_14,15,0.9823,0.6667,392,YHR081W
Complex_14,15,0.9823,0.6667,84,YCR035C
Complex_14,15,0.9823,0.6667,747,YOL021C
Complex_14,15,0.9823,0.6667,355,YGR195W
Complex_14,15,0.9823,0.6667,768,YOR001W
Complex_14,15,0.9823,0.6667,713,YNL232W
Complex_14,15,0.9823,0.6667,314,YGL213C
Complex_14,15,0.9823,0.6667,650,YMR116C
Complex_14,15,0.9823,0.6667,374,YGR285C
Complex_14,15,0.9823,0.6667,596,YLR398C
Complex_15,9,0.9819,0.3556,22,YBL026W
Complex_15,9,0.9819,0.3556,606,YLR438C-A
Complex_15,9,0.9819,0.3556,458,YJL124C
Complex_15,9,0.9819,0.3556,91,YCR077C
Complex_15,9,0.9819,0.3556,244,YER112W
Complex_15,9,0.9819,0.3556,551,YLR147C
Complex_15,9,0.9819,0.3556,336,YGR091W
Complex_15,9,0.9819,0.3556,249,YER146W
Complex_15,9,0.9819,0.3556,328,YGR074W
Complex_16,38,0.9819,0.5263,54,YBR154C
Complex_16,38,0.9819,0.5263,897,YPR187W
Complex_16,38,0.9819,0.5263,800,YOR224C
Complex_16,38,0.9819,0.5263,798,YOR210W
Complex_16,38,0.9819,0.5263,788,YOR151C
