Complex_ID,Size,Score,Overlap_Score,Protein_Names,CC_Enriched_Terms,CC_Min_Pvalue,CC_Significant,BP_Enriched_Terms,BP_Min_Pvalue,BP_Significant,MF_Enriched_Terms,MF_Min_Pvalue,MF_Significant,Total_Enriched_Terms,Overall_Min_Pvalue,Overall_Significant
Complex_21,46,0.9599,0.4348,YBR154C;YPR187W;YOR224C;YPL129W;YGL070C;YGR005C;YIL021W;YOL005C;YDL140C;YOR151C;YJL140W;YOR210W;YPR110C;YPR010C;YGR063C;YJR063W;YOR340C;YNL151C;YOR116C;YPR190C;YLR106C;YHR143W-A;YOR341W;YMR012W;YKL144C;YKR025W;YDR156W;YDR045C;YJL148W;YNL248C;YOR207C;YDL150W;YLR180W;YPL235W;YJL011C;YGL043W;YNL113W;YMR033W;YLR052W;YDL002C;YER092W;YDR190C;YGL150C;YFL013C;YOR133W;YNR023W,32,5.52e-59,True,40,4.51e-41,True,17,1.14e-56,True,89,5.52e-59,True
Complex_22,19,0.9571,0.5307,YHR041C;YHR058C;YHR099W;YMR223W;YMR236W;YDR145W;YDR167W;YGL112C;YBR081C;YGL151W;YBR253W;YNL236W;YDR448W;YPL254W;YOL135C;YGR252W;YGR274C;YER148W;YMR005W,21,1.01e-20,True,39,1.59e-13,True,18,2.27e-11,True,78,1.01e-20,True
Complex_23,19,0.9571,0.5307,YHR041C;YHR058C;YHR099W;YMR223W;YMR236W;YDR145W;YDR167W;YGL112C;YBR081C;YGL151W;YBR253W;YNL236W;YDR448W;YPL254W;YOL135C;YGR252W;YGR274C;YER148W;YMR005W,21,1.01e-20,True,39,1.59e-13,True,18,2.27e-11,True,78,1.01e-20,True
Complex_24,19,0.9571,0.5307,YHR041C;YHR058C;YHR099W;YMR223W;YMR236W;YDR145W;YDR167W;YGL112C;YBR081C;YGL151W;YBR253W;YNL236W;YDR448W;YPL254W;YOL135C;YGR252W;YGR274C;YER148W;YMR005W,21,1.01e-20,True,39,1.59e-13,True,18,2.27e-11,True,78,1.01e-20,True
Complex_25,19,0.9571,0.5307,YBR081C;YGL112C;YDR448W;YMR236W;YDR167W;YGR252W;YPL254W;YMR223W;YNL236W;YHR041C;YHR058C;YMR005W;YHR099W;YOL135C;YBR253W;YDR145W;YGR274C;YGL151W;YER148W,21,1.01e-20,True,39,1.59e-13,True,18,2.27e-11,True,78,1.01e-20,True
Complex_26,13,0.9557,0.0256,YFR009W;YGL195W;YKL029C;YLR180W;YMR012W;YBR025C;YLR106C;YIL094C;YDL143W;YER086W;YOR136W;YER110C;YFL045C,4,6.65e-04,True,0,0.154402,False,7,0.01948,True,11,6.65e-04,True
Complex_27,16,0.9555,0.7656,YBL026W;YLR438C-A;YJL124C;YCR077C;YER112W;YLR147C;YGR091W;YER146W;YGR074W;YDL098C;YBR055C;YOR308C;YHR165C;YDR378C;YPR082C;YER172C,28,8.18e-31,True,29,5.25e-21,True,1,0.010147,True,58,8.18e-31,True
Complex_28,5,0.9493,1.0,YGR020C;YOR332W;YPR036W;YBR127C;YKL080W,12,5.01e-14,True,22,1.40e-09,True,16,1.01e-10,True,50,5.01e-14,True
Complex_29,6,0.9481,0.0238,YBL087C;YDR361C;YPL208W;YGL111W;YPL093W;YMR290C,1,0.010928,True,0,0.064699,False,0,1.0,False,1,0.010928,True
Complex_30,18,0.9477,0.0185,YFR009W;YGL195W;YLR180W;YHR020W;YMR012W;YBR025C;YLR106C;YKL029C;YGR240C;YOR151C;YIL094C;YOR136W;YDL143W;YDR502C;YGR218W;YER110C;YLR075W;YFL045C,6,3.02e-06,True,2,0.043896,True,14,7.45e-04,True,22,3.02e-06,True
