Complex_ID,Size,Score,Overlap_Score,Protein_Names,CC_Enriched_Terms,CC_Min_Pvalue,CC_Significant,BP_Enriched_Terms,BP_Min_Pvalue,BP_Significant,MF_Enriched_Terms,MF_Min_Pvalue,MF_Significant,Total_Enriched_Terms,Overall_Min_Pvalue,Overall_Significant
Complex_71,68,0.9027,0.1343,YMR229C;YMR290C;YHR052W;YDR060W;YPL012W;YOL077C;YDR496C;YNL002C;YPR016C;YER006W;YKL009W;YNL061W;YLL008W;YPL093W;YLR106C;YLR002C;YHR197W;YPL211W;YNL182C;YDR101C;YER126C;YGL111W;YOR272W;YGR103W;YFL002C;YMR049C;YKR081C;YOR206W;YDR087C;YLR449W;YNL110C;YGL076C;YFR001W;YBL087C;YLL045C;YDL031W;YLR276C;YBR142W;YPL043W;YKL172W;YOR063W;YCL054W;YOL041C;YLR432W;YLL034C;YHR088W;YAL035W;YML073C;YGR085C;YDR012W;YGL103W;YOR294W;YDL075W;YOL120C;YGL030W;YDR471W;YOL127W;YDL082W;YNL301C;YLR029C;YGL147C;YPL131W;YNL308C;YBR031W;YHR010W;YIL133C;YJR002W;YPL220W,24,1.61e-51,True,50,1.52e-43,True,14,4.17e-20,True,88,1.61e-51,True
Complex_72,76,0.9022,0.1678,YPR102C;YPL093W;YPL131W;YNL002C;YER006W;YNR053C;YPR016C;YKL009W;YNL061W;YLL008W;YLR106C;YLR002C;YHR197W;YPL211W;YGR245C;YNL182C;YGL111W;YER126C;YDR101C;YOR272W;YGR103W;YFL002C;YMR290C;YOL077C;YHR052W;YHR085W;YMR049C;YKR081C;YOR206W;YDR496C;YCR072C;YPL249C-A;YLR449W;YLR325C;YDR060W;YNL110C;YGL076C;YLL045C;YFR001W;YBL087C;YBR142W;YDL031W;YLR276C;YPL043W;YKL172W;YOR063W;YCL054W;YOL041C;YJL191W;YLR432W;YLR074C;YHR088W;YLL034C;YML073C;YGR085C;YOR294W;YGL103W;YPL012W;YDL075W;YGL030W;YNL301C;YDR471W;YOL127W;YDL082W;YLR029C;YGL147C;YNL178W;YIL133C;YHR010W;YEL054C;YJR145C;YLR448W;YPL220W;YPL198W;YDR418W;YCL037C,27,9.80e-52,True,50,5.84e-47,True,13,3.89e-23,True,90,9.80e-52,True
Complex_73,80,0.902,0.1719,YOR063W;YDR060W;YMR290C;YBR142W;YDR496C;YMR049C;YHR052W;YNL002C;YOR272W;YPL043W;YNL061W;YLL008W;YPL211W;YER006W;YNR053C;YPR016C;YKL009W;YPL093W;YLR002C;YLR106C;YHR197W;YGR245C;YNL182C;YDR101C;YGL111W;YER126C;YGR103W;YFL002C;YOL077C;YKR081C;YOR206W;YDR087C;YPL249C-A;YLR449W;YLR325C;YNL110C;YGL076C;YFR001W;YLL045C;YDL031W;YBL087C;YLR276C;YKL172W;YCL054W;YJL191W;YOL041C;YLR432W;YLR406C;YML056C;YLL034C;YLR075W;YML073C;YHR088W;YGR085C;YLR287C-A;YGL103W;YAL035W;YDR012W;YBR191W;YGL030W;YMR142C;YDL082W;YDL075W;YDR471W;YOL120C;YNL301C;YLR029C;YOL040C;YOL127W;YOR294W;YPL012W;YGL147C;YMR194W;YBL027W;YNL178W;YGL123W;YPL131W;YPL143W;YER074W;YNL112W,28,7.07e-59,True,50,2.02e-45,True,22,3.01e-26,True,100,7.07e-59,True
Complex_74,65,0.902,0.1077,YMR229C;YMR290C;YDL014W;YDR496C;YDR060W;YOL077C;YOR206W;YLR029C;YNL002C;YER006W;YPR016C;YKL009W;YNL061W;YLL008W;YPL093W;YLR002C;YPL211W;YHR197W;YER126C;YGL111W;YOR272W;YGR103W;YFL002C;YMR049C;YHR052W;YKR081C;YDR087C;YLR449W;YNL110C;YFR001W;YGL076C;YDL031W;YLR276C;YBL087C;YBR142W;YPL043W;YCL054W;YLL045C;YKL172W;YLR432W;YHR088W;YOL041C;YLL034C;YLR075W;YOR063W;YMR309C;YLR287C-A;YML073C;YAL035W;YGR085C;YGL103W;YDR012W;YGL030W;YDR471W;YOL127W;YDL082W;YDL075W;YFR032C-A;YNL301C;YOL120C;YCL011C;YOR294W;YPL012W;YOL040C;YGL147C,23,6.14e-51,True,44,3.10e-41,True,14,1.57e-21,True,81,6.14e-51,True
Complex_75,47,0.9019,0.3858,YLR344W;YFR031C-A;YMR194W;YDR471W;YBL027W;YGL103W;YER074W;YLL045C;YGL076C;YER006W;YML073C;YGR085C;YPL249C-A;YOR063W;YGL030W;YCR031C;YDL082W;YNL178W;YOL127W;YLR441C;YML063W;YNL061W;YLR340W;YKL180W;YPL211W;YPL093W;YLR448W;YDL075W;YHL001W;YKR081C;YNL301C;YLR075W;YJL177W;YBR191W;YMR290C;YDR012W;YBR031W;YGL147C;YDR496C;YLR029C;YNL110C;YPL090C;YMR142C;YDR418W;YLR287C-A;YIL133C;YOL077C,22,8.23e-48,True,29,7.43e-50,True,7,1.92e-45,True,58,7.43e-50,True
Complex_76,72,0.9017,0.1771,YOR294W;YPL131W;YKR081C;YLR002C;YMR290C;YLR029C;YNL002C;YER006W;YNR053C;YPR016C;YKL009W;YNL061W;YLL008W;YPL093W;YPL211W;YHR197W;YDR101C;YER126C;YGL111W;YOR272W;YGR103W;YFL002C;YOL077C;YMR049C;YHR052W;YOR206W;YDR496C;YDR087C;YPL249C-A;YLR449W;YDR060W;YNL110C;YGL076C;YLL045C;YFR001W;YLR276C;YDL031W;YBL087C;YPL043W;YBR142W;YCL054W;YKL172W;YOL041C;YLR432W;YOR063W;YHR088W;YLL034C;YPR102C;YLR075W;YML073C;YGR085C;YLR287C-A;YGL103W;YGL030W;YDR012W;YDR471W;YOL127W;YDL082W;YDL075W;YFR032C-A;YOL120C;YNL301C;YOL040C;YLR340W;YGL147C;YMR194W;YNL178W;YER074W;YBL027W;YPL012W;YBR031W;YNL096C,25,3.20e-58,True,49,2.81e-40,True,14,2.66e-25,True,88,3.20e-58,True
Complex_77,3,0.9017,0.4444,YBL002W;YBL003C;YGL241W,1,0.007808,True,0,1.0,False,1,0.021376,True,2,0.007808,True
Complex_78,85,0.9017,0.1501,YOR063W;YAL035W;YLL045C;YJR145C;YDR496C;YPL198W;YGL076C;YNL002C;YER006W;YNR053C;YPR016C;YKL009W;YNL061W;YLL008W;YPL093W;YLR002C;YPL211W;YGR245C;YHR197W;YNL182C;YDR101C;YER126C;YGL111W;YOR272W;YGR103W;YFL002C;YGL246C;YOL077C;YMR049C;YMR290C;YHR052W;YKR081C;YOR206W;YDR087C;YPL249C-A;YLR449W;YLR325C;YNL110C;YDR060W;YFR001W;YDL031W;YLR276C;YLR192C;YPL043W;YOR361C;YBR142W;YKL172W;YPR041W;YDR429C;YJL191W;YLR432W;YBR079C;YLR075W;YLR406C;YML073C;YGR085C;YML056C;YDR091C;YGL103W;YMR309C;YHR088W;YMR146C;YLL034C;YLR287C-A;YBR191W;YDR012W;YOL041C;YDR471W;YOL127W;YGL030W;YDL082W;YDL075W;YMR142C;YAR073W;YNL301C;YLR029C;YNL178W;YOL120C;YGL147C;YMR194W;YBL027W;YOL040C;YER074W;YPL012W;YPL131W,38,3.69e-61,True,53,1.19e-37,True,16,3.53e-26,True,107,3.69e-61,True
Complex_79,83,0.9017,0.1912,YOR063W;YOL127W;YLL045C;YHR052W;YOL041C;YNL002C;YOR206W;YOL077C;YMR290C;YPL131W;YMR242C;YER006W;YNR053C;YPR016C;YKL009W;YNL061W;YLL008W;YPL093W;YLR002C;YPL211W;YLR106C;YGR245C;YHR197W;YNL182C;YER126C;YDR101C;YGL111W;YOR272W;YGR103W;YFL002C;YGL246C;YMR049C;YKR081C;YPL249C-A;YDR087C;YDR496C;YLR325C;YLR449W;YNL110C;YDR060W;YGL076C;YFR001W;YLR276C;YDL031W;YPL043W;YBR142W;YBL087C;YCL054W;YJL191W;YKL172W;YLR074C;YLR432W;YLR406C;YLL034C;YML056C;YLR075W;YPR102C;YHR088W;YML073C;YLR287C-A;YAL035W;YGR085C;YGL103W;YGL014W;YBR191W;YNL302C;YDR012W;YDL082W;YGL030W;YMR142C;YDR471W;YAR073W;YDL075W;YHL015W;YNL301C;YLR029C;YFR032C-A;YMR194W;YGR118W;YNL178W;YLR340W;YGL147C;YBL027W,29,2.55e-57,True,50,2.41e-40,True,12,1.36e-28,True,91,2.55e-57,True
Complex_80,72,0.9017,0.1386,YLR432W;YPL198W;YGR085C;YLL045C;YLR029C;YMR290C;YML073C;YGL076C;YNL002C;YER006W;YPR016C;YLL008W;YNL061W;YKL009W;YPL093W;YLR002C;YPL211W;YHR197W;YDR101C;YER126C;YGL111W;YOR272W;YGR103W;YFL002C;YOL077C;YMR049C;YGL246C;YHR052W;YKR081C;YOR206W;YPL249C-A;YDR087C;YDR496C;YLR449W;YNL110C;YDR060W;YFR001W;YLR276C;YPL043W;YBR142W;YDL031W;YBL087C;YKL172W;YCL054W;YOL041C;YOR063W;YLR075W;YML056C;YHR088W;YGL103W;YLL034C;YLR287C-A;YAL035W;YGL030W;YDR012W;YBR191W;YDR471W;YDL082W;YDL075W;YAR073W;YGL014W;YMR142C;YOL127W;YHL015W;YNL301C;YFR032C-A;YGR118W;YOL120C;YOR294W;YOL040C;YNL178W;YGL147C,26,1.75e-51,True,46,9.97e-36,True,11,4.40e-22,True,83,1.75e-51,True
Complex_81,4,0.9016,0.3333,YAL003W;YGR285C;YHR064C;YPR189W,0,0.546243,False,3,0.016073,True,0,0.178194,False,3,0.016073,True
Complex_82,17,0.9016,0.4183,YEL018W;YPR023C;YHR099W;YPL254W;YGR252W;YMR236W;YGL112C;YMR075W;YNL330C;YIL084C;YOL004W;YDR145W;YNL136W;YHR090C;YDR448W;YBR081C;YGR002C,26,1.70e-23,True,74,7.62e-20,True,14,4.09e-08,True,114,1.70e-23,True
Complex_83,28,0.9015,0.3214,YMR309C;YDL014W;YAL035W;YER025W;YPR041W;YBR079C;YOR361C;YMR146C;YDR429C;YNL061W;YLL008W;YMR290C;YDR091C;YLR192C;YLL045C;YGL076C;YOR063W;YGR085C;YOL077C;YDL082W;YDR496C;YOR206W;YLR075W;YGL030W;YBR142W;YDR060W;YNL178W;YLR029C,24,1.16e-22,True,32,5.67e-16,True,8,2.18e-13,True,64,1.16e-22,True
Complex_84,80,0.9015,0.2267,YLR074C;YNR053C;YPL093W;YLR325C;YOL127W;YNL002C;YER006W;YPR016C;YKL009W;YNL061W;YLL008W;YLR002C;YPL211W;YLR106C;YHR197W;YGR245C;YNL182C;YGL111W;YDR101C;YER126C;YOR272W;YGR103W;YFL002C;YMR290C;YOL077C;YHR052W;YHR085W;YMR049C;YKR081C;YOR206W;YDR496C;YCR072C;YPL249C-A;YLR449W;YNL110C;YDR060W;YGL076C;YFR001W;YBL087C;YLL045C;YDL031W;YLR276C;YPL043W;YKL172W;YCL054W;YOR063W;YOL041C;YLR406C;YLL034C;YLR075W;YHR088W;YML073C;YPR102C;YGR085C;YLR287C-A;YGL014W;YBR191W;YGL103W;YDR012W;YGR118W;YFR032C-A;YMR142C;YDL082W;YDL075W;YGL030W;YDR471W;YOL120C;YNL301C;YLR029C;YOL040C;YGL147C;YLR340W;YBL027W;YPR067W;YMR194W;YNL178W;YPL131W;YOL039W;YNL112W;YBR031W,27,4.62e-57,True,51,1.24e-42,True,13,4.49e-29,True,91,4.62e-57,True
Complex_85,66,0.9015,0.2241,YPR067W;YOL127W;YNL096C;YDL075W;YNL002C;YER006W;YLL008W;YNR053C;YNL061W;YPR016C;YPL093W;YLR002C;YPL211W;YHR197W;YDR101C;YGL111W;YGR103W;YFL002C;YMR049C;YOL077C;YMR290C;YHR052W;YKR081C;YOR206W;YPL249C-A;YDR496C;YLR325C;YLR449W;YNL110C;YGL076C;YDL031W;YLR276C;YLL045C;YPL043W;YKL172W;YLR074C;YHR088W;YOL041C;YOR063W;YLR406C;YLR075W;YML073C;YGR085C;YGL103W;YLR287C-A;YDR471W;YGL030W;YDL082W;YDR012W;YBR191W;YNL178W;YMR194W;YER074W;YFR031C-A;YLR340W;YNL301C;YHL001W;YCR031C;YLR441C;YLR448W;YMR142C;YBR031W;YGL147C;YBL027W;YIL133C;YOL040C,25,5.89e-54,True,48,9.05e-38,True,9,5.11e-33,True,82,5.89e-54,True
Complex_86,34,0.9015,0.2647,YBR079C;YOR096W;YDR091C;YER025W;YPR041W;YOR361C;YDR429C;YMR146C;YMR309C;YLR192C;YGR085C;YGL076C;YLL045C;YOR063W;YGL103W;YPL249C-A;YDL082W;YMR290C;YAL035W;YML073C;YKR081C;YDR471W;YLR075W;YGL030W;YAR073W;YNL178W;YER074W;YMR194W;YCR031C;YDL075W;YOL127W;YFR031C-A;YNL301C;YML063W,27,4.50e-30,True,33,1.07e-28,True,7,3.71e-20,True,67,4.50e-30,True
Complex_87,43,0.9014,0.4778,YGR156W;YHL033C;YLR448W;YGL103W;YLL045C;YGL076C;YGR085C;YML073C;YMR194W;YER074W;YDR471W;YOR063W;YFR031C-A;YPL249C-A;YCR031C;YGL030W;YNL178W;YDL082W;YLR441C;YLR340W;YOL127W;YDL075W;YHL001W;YML063W;YNL301C;YLR075W;YBR191W;YKL180W;YBR031W;YDR012W;YGL147C;YJL177W;YBL027W;YLR029C;YMR142C;YMR242C;YPL090C;YDR418W;YNL069C;YIL133C;YOL040C;YLR287C-A;YNL096C,21,6.99e-59,True,22,3.04e-63,True,7,4.95e-59,True,50,3.04e-63,True
Complex_88,16,0.9014,0.0755,YAR073W;YHR216W;YML056C;YLR432W;YLL045C;YOR063W;YGL076C;YGR085C;YML073C;YNL178W;YDL082W;YAR075W;YMR290C;YMR142C;YLR029C;YML063W,10,1.04e-09,True,34,3.95e-09,True,5,3.88e-09,True,49,1.04e-09,True
Complex_89,30,0.9013,0.3,YBR079C;YMR146C;YBL072C;YOR361C;YER025W;YPR041W;YDR429C;YMR309C;YLR192C;YGR085C;YDR091C;YGL076C;YLL045C;YOR063W;YGL103W;YDL082W;YML073C;YMR290C;YAL035W;YDR471W;YLR075W;YNL178W;YLR287C-A;YER074W;YMR194W;YCR031C;YFR031C-A;YLR340W;YOL127W;YHL001W,26,6.45e-27,True,32,1.13e-27,True,7,6.03e-18,True,65,1.13e-27,True
Complex_90,80,0.9012,0.2415,YOR063W;YOL127W;YLL045C;YLR029C;YMR242C;YOL077C;YMR290C;YPL198W;YDL082W;YIL133C;YDR471W;YBR031W;YNL002C;YGL103W;YER006W;YGL076C;YML073C;YGR085C;YER074W;YMR194W;YNR053C;YPL249C-A;YLL008W;YFR031C-A;YPR016C;YLR002C;YGL030W;YCR031C;YDR101C;YNL178W;YGR245C;YKL009W;YNL061W;YPL093W;YHR197W;YPL211W;YER126C;YGR103W;YNL182C;YOR272W;YGL111W;YFL002C;YMR049C;YKR081C;YHR052W;YDR496C;YOR206W;YDR087C;YNL110C;YGL246C;YLR449W;YLR325C;YDR060W;YLR432W;YFR001W;YML056C;YBL087C;YLR075W;YPL043W;YLR276C;YBR142W;YCL054W;YBR191W;YDR012W;YJL191W;YDL075W;YKL172W;YLR406C;YLR340W;YNL301C;YDL031W;YLR448W;YHL001W;YLR287C-A;YLR441C;YML063W;YMR142C;YGL147C;YBL027W;YDR174W,30,7.07e-59,True,48,6.08e-41,True,10,5.17e-35,True,88,7.07e-59,True
Complex_91,77,0.9012,0.2061,YOR063W;YEL054C;YDL082W;YML063W;YGL030W;YPL249C-A;YNL002C;YER006W;YNR053C;YPR016C;YNL061W;YPL093W;YKL009W;YLL008W;YLR002C;YPL211W;YHR197W;YGR245C;YNL182C;YER126C;YDR101C;YGL111W;YOR272W;YGR103W;YFL002C;YHR052W;YOL077C;YMR290C;YMR049C;YKR081C;YOR206W;YDR496C;YLR325C;YLR449W;YDR060W;YGL076C;YNL110C;YLL045C;YFR001W;YLR276C;YPL043W;YDL031W;YBR142W;YKL172W;YJL191W;YOL041C;YLR075W;YML073C;YLR406C;YML056C;YGL103W;YGR085C;YPR102C;YHR088W;YAL035W;YLL034C;YDR471W;YDR012W;YOL127W;YLR287C-A;YBR191W;YDL075W;YGL014W;YMR142C;YAR073W;YNL301C;YFR032C-A;YLR029C;YOL120C;YGL147C;YNL178W;YOL040C;YLR340W;YMR194W;YER074W;YBL027W;YBR031W,29,1.31e-56,True,48,2.75e-37,True,12,4.32e-30,True,89,1.31e-56,True
Complex_92,74,0.9012,0.1999,YOR063W;YOL127W;YGL031C;YKL180W;YGL030W;YGL103W;YNL069C;YGR085C;YDR471W;YML063W;YDL083C;YML073C;YLR075W;YCR031C;YMR242C;YPL249C-A;YJL177W;YDL082W;YFR031C-A;YBR031W;YBL027W;YNL002C;YLL045C;YER006W;YGL076C;YER074W;YMR194W;YNR053C;YNL178W;YLL008W;YPR016C;YLR002C;YGR245C;YDR101C;YKL009W;YNL061W;YPL211W;YGR103W;YPL093W;YLR441C;YNL182C;YHR197W;YER126C;YOR272W;YGL111W;YMR290C;YFL002C;YMR049C;YKR081C;YOL077C;YOR206W;YDR496C;YHR052W;YDR087C;YNL110C;YDL075W;YLR432W;YBR191W;YDR012W;YFR001W;YLR325C;YLR340W;YPL043W;YLR276C;YBR142W;YLR287C-A;YDR060W;YLR406C;YML056C;YLR449W;YJL191W;YHR088W;YKL172W;YNL301C,29,1.49e-54,True,48,1.57e-35,True,12,3.84e-32,True,89,1.49e-54,True
Complex_93,51,0.9012,0.1791,YLR432W;YPL198W;YML056C;YGL076C;YER006W;YKL009W;YNL061W;YLL008W;YPL093W;YLR002C;YPL211W;YGL111W;YOR272W;YGR103W;YOL077C;YMR290C;YKR081C;YOR206W;YPL249C-A;YDR496C;YLR449W;YDR060W;YLL045C;YDL031W;YPL043W;YBR142W;YAR075W;YLR075W;YHR088W;YOL041C;YOR063W;YGR085C;YML073C;YGL103W;YDR012W;YGL030W;YDL082W;YDR471W;YMR194W;YOL127W;YDL075W;YNL178W;YMR142C;YER074W;YNL301C;YAR073W;YHL001W;YGL147C;YLR441C;YLR448W;YFR031C-A,21,2.08e-36,True,35,6.58e-25,True,6,4.18e-21,True,62,2.08e-36,True
Complex_94,75,0.9011,0.16,YOR063W;YOL127W;YLL045C;YLR441C;YOR096W;YMR242C;YGR085C;YDR471W;YML063W;YML073C;YFR031C-A;YGL103W;YDL082W;YNL069C;YJR145C;YPL220W;YJR123W;YHL033C;YGL076C;YNL002C;YER006W;YER074W;YMR194W;YPL249C-A;YNR053C;YGL030W;YCR031C;YNL178W;YLL008W;YPR016C;YDR101C;YLR002C;YGR245C;YKL009W;YNL061W;YPL211W;YGR103W;YPL093W;YNL182C;YHR197W;YER126C;YOR272W;YGL111W;YMR290C;YFL002C;YMR049C;YKR081C;YOL077C;YDR496C;YHR052W;YOR206W;YGL246C;YLR075W;YDR087C;YNL110C;YGR156W;YDL075W;YLR432W;YBR191W;YFR001W;YLR325C;YML056C;YLR276C;YJL191W;YPL043W;YDR012W;YLR287C-A;YHR088W;YBR079C;YDR091C;YBR142W;YDR060W;YLR449W;YLR340W;YNL301C,29,3.06e-50,True,48,2.60e-37,True,14,7.01e-29,True,91,3.06e-50,True
Complex_95,61,0.901,0.3167,YLR340W;YGR085C;YML063W;YKL180W;YMR194W;YJR123W;YMR242C;YML073C;YOL127W;YFR031C-A;YJL177W;YLR448W;YGL103W;YDL082W;YNL069C;YIL133C;YDR418W;YDR012W;YDR382W;YDL075W;YER074W;YLL045C;YGL076C;YNL002C;YDR471W;YER006W;YOR063W;YPL249C-A;YNR053C;YLL008W;YGL030W;YPR016C;YLR002C;YCR031C;YNL178W;YDR101C;YNL061W;YLR441C;YPL211W;YGR103W;YPL093W;YHR197W;YKR081C;YHL001W;YOR272W;YOR206W;YMR049C;YNL301C;YGL111W;YLR075W;YBR191W;YFL002C;YMR290C;YGL147C;YNL110C;YDR496C;YBR031W;YOL077C;YLR029C;YHR052W;YBL027W,25,2.02e-57,True,42,3.04e-43,True,9,6.19e-40,True,76,2.02e-57,True
Complex_96,67,0.9009,0.2208,YFR032C-A;YMR194W;YGL103W;YJL177W;YOL127W;YBL027W;YDR471W;YBL092W;YGL031C;YDL082W;YDL083C;YGR085C;YNL002C;YLL045C;YER006W;YGL076C;YML073C;YER074W;YOR063W;YFR031C-A;YNR053C;YPL249C-A;YLL008W;YLR002C;YGL030W;YPR016C;YCR031C;YNL178W;YDR101C;YNL061W;YPL211W;YGR103W;YPL093W;YHR197W;YOR272W;YGL111W;YMR290C;YFL002C;YMR049C;YKR081C;YOL077C;YDR496C;YHR052W;YOR206W;YDR087C;YNL110C;YLR075W;YLR449W;YLR325C;YLR432W;YPL043W;YLR276C;YDL031W;YJL191W;YBR142W;YDL075W;YDR012W;YBR191W;YLR340W;YLR406C;YLR287C-A;YNL301C;YHL001W;YDR174W;YLR448W;YLR441C;YKL172W,26,5.18e-53,True,42,1.13e-35,True,9,1.07e-32,True,77,5.18e-53,True
Complex_97,3,0.9009,0.3333,YDR228C;YOR250C;YHR216W,1,0.022461,True,0,0.232718,False,0,1.0,False,1,0.022461,True
Complex_98,73,0.9008,0.2326,YOR063W;YOL127W;YLL045C;YHL001W;YOR096W;YFR031C-A;YMR242C;YGR085C;YJL177W;YDR471W;YLR448W;YML063W;YML073C;YKL180W;YMR194W;YGL147C;YGL103W;YER074W;YDL082W;YPL198W;YJL190C;YNL178W;YNL069C;YIL133C;YHL033C;YBR031W;YNL002C;YGL076C;YER006W;YPL249C-A;YNR053C;YGL030W;YCR031C;YLL008W;YPR016C;YLR002C;YDR101C;YGR245C;YKL009W;YNL061W;YPL211W;YGR103W;YPL093W;YLR441C;YNL182C;YHR197W;YER126C;YKR081C;YOR272W;YLR340W;YDL075W;YOR206W;YMR049C;YGL111W;YLR075W;YMR290C;YFL002C;YGL246C;YOL077C;YDR496C;YHR052W;YDR087C;YNL110C;YGR156W;YLR432W;YBR191W;YFR001W;YDR012W;YLR325C;YPL043W;YLR276C;YBR142W;YDR060W,29,1.58e-53,True,51,2.52e-39,True,12,5.57e-34,True,92,1.58e-53,True
Complex_99,48,0.9008,0.4025,YGL014W;YFR031C-A;YMR194W;YGL103W;YJL177W;YNL302C;YLR287C-A;YMR242C;YER074W;YLL045C;YML073C;YNL002C;YGR085C;YGL076C;YDR471W;YOR063W;YDL082W;YPL249C-A;YGL030W;YCR031C;YOL127W;YNL178W;YDR101C;YLR441C;YML063W;YKL180W;YLR340W;YLR448W;YDL075W;YHL001W;YNL301C;YBR191W;YBR031W;YKR081C;YLR075W;YGL147C;YDR012W;YOR206W;YPL093W;YBL027W;YLR029C;YMR142C;YDR174W;YPL090C;YDR418W;YNL110C;YIL133C;YNL069C,22,3.44e-51,True,24,1.47e-51,True,6,2.54e-51,True,52,1.47e-51,True
Complex_100,69,0.9008,0.23,YGL014W;YFR031C-A;YMR194W;YGL103W;YJL177W;YBL027W;YLR448W;YER074W;YDL075W;YDR471W;YML073C;YOL127W;YLR287C-A;YMR242C;YBR191W;YDL082W;YHL001W;YNL002C;YLL045C;YGL076C;YER006W;YGR085C;YPL249C-A;YNR053C;YOR063W;YGL030W;YLL008W;YPR016C;YCR031C;YLR002C;YNL178W;YDR101C;YNL061W;YPL211W;YGR103W;YPL093W;YLR441C;YHR197W;YML063W;YKL180W;YKR081C;YLR340W;YOR272W;YOR206W;YMR049C;YGL111W;YMR290C;YFL002C;YOL077C;YHR052W;YDR496C;YLR075W;YNL110C;YLR432W;YDR012W;YGR156W;YLR325C;YNL301C;YPL043W;YLR276C;YLR406C;YHR088W;YMR142C;YJL191W;YDL031W;YBR142W;YGL147C;YOL040C;YDR174W,25,3.76e-53,True,47,1.63e-40,True,9,3.00e-35,True,81,3.76e-53,True
Complex_101,70,0.9007,0.2267,YOR063W;YOL127W;YLL045C;YLR029C;YMR242C;YML073C;YDR471W;YGR085C;YOR096W;YML063W;YNL069C;YFR031C-A;YGL103W;YDL082W;YJL177W;YLR448W;YKL180W;YMR194W;YPL220W;YLR075W;YJR123W;YGL030W;YDR382W;YDL075W;YBR031W;YNL002C;YGL076C;YER074W;YER006W;YPL249C-A;YCR031C;YNR053C;YNL178W;YLL008W;YPR016C;YLR002C;YDR101C;YGR245C;YKL009W;YNL061W;YPL211W;YGR103W;YPL093W;YLR441C;YNL182C;YHR197W;YER126C;YKR081C;YOR272W;YLR340W;YOR206W;YMR049C;YGL111W;YMR290C;YFL002C;YGL246C;YOL077C;YDR496C;YNL110C;YHR052W;YDR087C;YGR156W;YLR432W;YBR191W;YFR001W;YDR012W;YML056C;YLR325C;YNL301C;YDR091C,27,2.69e-52,True,50,1.32e-36,True,9,2.47e-33,True,86,2.69e-52,True
Complex_102,78,0.9006,0.2477,YKL172W;YKL180W;YKR081C;YLL008W;YBL027W;YLL045C;YLR002C;YLR075W;YBR031W;YBR079C;YBR142W;YBR191W;YLR276C;YLR325C;YLR340W;YCR031C;YLR406C;YLR432W;YLR441C;YLR448W;YLR449W;YDL031W;YML056C;YDL075W;YDL082W;YML073C;YMR049C;YDR012W;YMR142C;YDR060W;YMR194W;YDR091C;YDR101C;YMR290C;YNL002C;YNL061W;YNL069C;YNL110C;YNL178W;YNL182C;YDR418W;YDR471W;YDR496C;YNL301C;YER006W;YNR053C;YER074W;YOL077C;YER126C;YOL127W;YFL002C;YOR063W;YOR096W;YFR001W;YFR031C-A;YGL030W;YOR206W;YGL076C;YGL103W;YOR272W;YGL111W;YGL147C;YPL043W;YGL246C;YPL093W;YGR085C;YGR103W;YPL211W;YPL249C-A;YPR016C;YGR245C;YPR102C;YHL001W;YHR010W;YHR052W;YHR197W;YJL191W;YKL009W,30,5.06e-55,True,48,1.03e-39,True,13,4.70e-34,True,91,5.06e-55,True
Complex_103,78,0.9006,0.2477,YOR063W;YOL127W;YLL045C;YHR010W;YDL082W;YGL103W;YOR096W;YNL069C;YFR031C-A;YKL180W;YDR418W;YGL030W;YPL249C-A;YNL002C;YER006W;YGL076C;YER074W;YML073C;YMR194W;YGR085C;YDR471W;YNR053C;YLL008W;YPR016C;YLR002C;YDR101C;YCR031C;YNL178W;YGR245C;YKL009W;YNL061W;YPL211W;YPL093W;YHR197W;YNL182C;YER126C;YGR103W;YOR272W;YGL111W;YMR290C;YFL002C;YMR049C;YOL077C;YKR081C;YHR052W;YDR496C;YOR206W;YNL110C;YGL246C;YLR449W;YLR325C;YDR060W;YFR001W;YLR432W;YLR075W;YML056C;YBR079C;YLR276C;YPL043W;YBR142W;YDR091C;YBR191W;YDR012W;YJL191W;YLR406C;YDL075W;YKL172W;YLR340W;YDL031W;YNL301C;YPR102C;YLR448W;YHL001W;YLR441C;YBR031W;YGL147C;YBL027W;YMR142C,30,5.06e-55,True,48,1.03e-39,True,13,4.70e-34,True,91,5.06e-55,True
Complex_104,29,0.9006,0.2874,YMR033W;YPL129W;YNR023W;YBR154C;YGR005C;YIL021W;YGL070C;YPR187W;YOR224C;YOR151C;YDL140C;YHL025W;YOL005C;YPL235W;YLR321C;YLR052W;YJL140W;YGR056W;YER092W;YDL002C;YPL016W;YFR037C;YML127W;YLR357W;YDR190C;YFL049W;YKR008W;YPR034W;YCR020W-B,35,7.22e-31,True,52,2.14e-19,True,11,5.67e-17,True,98,7.22e-31,True
