Complex_ID,Complex_Size,Complex_Score,Complex_Overlap_Score,Protein_ID,Protein_Name,CC_Enriched_Terms,CC_Min_Pvalue,CC_Significant,BP_Enriched_Terms,BP_Min_Pvalue,BP_Significant,MF_Enriched_Terms,MF_Min_Pvalue,MF_Significant,Total_Enriched_Terms,Overall_Min_Pvalue,Overall_Significant
Complex_6,19,0.9871,0.5307,842,YPL129W,21,3.61e-22,True,29,4.05e-22,True,22,2.28e-22,True,72,2.28e-22,True
Complex_6,19,0.9871,0.5307,637,YMR012W,21,3.61e-22,True,29,4.05e-22,True,22,2.28e-22,True,72,2.28e-22,True
Complex_6,19,0.9871,0.5307,555,YLR180W,21,3.61e-22,True,29,4.05e-22,True,22,2.28e-22,True,72,2.28e-22,True
Complex_6,19,0.9871,0.5307,461,YJL140W,21,3.61e-22,True,29,4.05e-22,True,22,2.28e-22,True,72,2.28e-22,True
Complex_6,19,0.9871,0.5307,783,YOR133W,21,3.61e-22,True,29,4.05e-22,True,22,2.28e-22,True,72,2.28e-22,True
Complex_7,34,0.9842,0.5882,54,YBR154C,22,8.88e-66,True,31,8.39e-45,True,18,1.85e-63,True,71,8.88e-66,True
Complex_7,34,0.9842,0.5882,897,YPR187W,22,8.88e-66,True,31,8.39e-45,True,18,1.85e-63,True,71,8.88e-66,True
Complex_7,34,0.9842,0.5882,800,YOR224C,22,8.88e-66,True,31,8.39e-45,True,18,1.85e-63,True,71,8.88e-66,True
Complex_7,34,0.9842,0.5882,798,YOR210W,22,8.88e-66,True,31,8.39e-45,True,18,1.85e-63,True,71,8.88e-66,True
Complex_7,34,0.9842,0.5882,696,YNL113W,22,8.88e-66,True,31,8.39e-45,True,18,1.85e-63,True,71,8.88e-66,True
Complex_7,34,0.9842,0.5882,884,YPR110C,22,8.88e-66,True,31,8.39e-45,True,18,1.85e-63,True,71,8.88e-66,True
Complex_7,34,0.9842,0.5882,480,YJR063W,22,8.88e-66,True,31,8.39e-45,True,18,1.85e-63,True,71,8.88e-66,True
Complex_7,34,0.9842,0.5882,817,YOR340C,22,8.88e-66,True,31,8.39e-45,True,18,1.85e-63,True,71,8.88e-66,True
Complex_7,34,0.9842,0.5882,866,YPR010C,22,8.88e-66,True,31,8.39e-45,True,18,1.85e-63,True,71,8.88e-66,True
Complex_7,34,0.9842,0.5882,818,YOR341W,22,8.88e-66,True,31,8.39e-45,True,18,1.85e-63,True,71,8.88e-66,True
Complex_7,34,0.9842,0.5882,717,YNL248C,22,8.88e-66,True,31,8.39e-45,True,18,1.85e-63,True,71,8.88e-66,True
Complex_7,34,0.9842,0.5882,320,YGR005C,22,8.88e-66,True,31,8.39e-45,True,18,1.85e-63,True,71,8.88e-66,True
Complex_7,34,0.9842,0.5882,419,YIL021W,22,8.88e-66,True,31,8.39e-45,True,18,1.85e-63,True,71,8.88e-66,True
Complex_7,34,0.9842,0.5882,288,YGL070C,22,8.88e-66,True,31,8.39e-45,True,18,1.85e-63,True,71,8.88e-66,True
Complex_7,34,0.9842,0.5882,327,YGR063C,22,8.88e-66,True,31,8.39e-45,True,18,1.85e-63,True,71,8.88e-66,True
Complex_7,34,0.9842,0.5882,702,YNL151C,22,8.88e-66,True,31,8.39e-45,True,18,1.85e-63,True,71,8.88e-66,True
Complex_7,34,0.9842,0.5882,781,YOR116C,22,8.88e-66,True,31,8.39e-45,True,18,1.85e-63,True,71,8.88e-66,True
Complex_7,34,0.9842,0.5882,899,YPR190C,22,8.88e-66,True,31,8.39e-45,True,18,1.85e-63,True,71,8.88e-66,True
Complex_7,34,0.9842,0.5882,788,YOR151C,22,8.88e-66,True,31,8.39e-45,True,18,1.85e-63,True,71,8.88e-66,True
Complex_7,34,0.9842,0.5882,404,YHR143W-A,22,8.88e-66,True,31,8.39e-45,True,18,1.85e-63,True,71,8.88e-66,True
Complex_7,34,0.9842,0.5882,123,YDL140C,22,8.88e-66,True,31,8.39e-45,True,18,1.85e-63,True,71,8.88e-66,True
Complex_7,34,0.9842,0.5882,508,YKL144C,22,8.88e-66,True,31,8.39e-45,True,18,1.85e-63,True,71,8.88e-66,True
Complex_7,34,0.9842,0.5882,520,YKR025W,22,8.88e-66,True,31,8.39e-45,True,18,1.85e-63,True,71,8.88e-66,True
Complex_7,34,0.9842,0.5882,842,YPL129W,22,8.88e-66,True,31,8.39e-45,True,18,1.85e-63,True,71,8.88e-66,True
Complex_7,34,0.9842,0.5882,141,YDR045C,22,8.88e-66,True,31,8.39e-45,True,18,1.85e-63,True,71,8.88e-66,True
Complex_7,34,0.9842,0.5882,158,YDR156W,22,8.88e-66,True,31,8.39e-45,True,18,1.85e-63,True,71,8.88e-66,True
Complex_7,34,0.9842,0.5882,462,YJL148W,22,8.88e-66,True,31,8.39e-45,True,18,1.85e-63,True,71,8.88e-66,True
Complex_7,34,0.9842,0.5882,744,YOL005C,22,8.88e-66,True,31,8.39e-45,True,18,1.85e-63,True,71,8.88e-66,True
Complex_7,34,0.9842,0.5882,166,YDR211W,22,8.88e-66,True,31,8.39e-45,True,18,1.85e-63,True,71,8.88e-66,True
Complex_7,34,0.9842,0.5882,797,YOR207C,22,8.88e-66,True,31,8.39e-45,True,18,1.85e-63,True,71,8.88e-66,True
Complex_7,34,0.9842,0.5882,127,YDL150W,22,8.88e-66,True,31,8.39e-45,True,18,1.85e-63,True,71,8.88e-66,True
Complex_7,34,0.9842,0.5882,445,YJL011C,22,8.88e-66,True,31,8.39e-45,True,18,1.85e-63,True,71,8.88e-66,True
Complex_7,34,0.9842,0.5882,317,YGL245W,22,8.88e-66,True,31,8.39e-45,True,18,1.85e-63,True,71,8.88e-66,True
Complex_7,34,0.9842,0.5882,461,YJL140W,22,8.88e-66,True,31,8.39e-45,True,18,1.85e-63,True,71,8.88e-66,True
Complex_8,4,0.9813,1.0,137,YDR013W,5,9.90e-12,True,10,7.18e-07,True,0,1.0,False,15,9.90e-12,True
Complex_8,4,0.9813,1.0,452,YJL072C,5,9.90e-12,True,10,7.18e-07,True,0,1.0,False,15,9.90e-12,True
Complex_8,4,0.9813,1.0,766,YOL146W,5,9.90e-12,True,10,7.18e-07,True,0,1.0,False,15,9.90e-12,True
Complex_8,4,0.9813,1.0,214,YDR489W,5,9.90e-12,True,10,7.18e-07,True,0,1.0,False,15,9.90e-12,True
Complex_9,3,0.9777,1.0,180,YDR295C,2,1.71e-08,True,6,5.75e-04,True,5,1.31e-05,True,13,1.71e-08,True
Complex_9,3,0.9777,1.0,896,YPR179C,2,1.71e-08,True,6,5.75e-04,True,5,1.31e-05,True,13,1.71e-08,True
Complex_9,3,0.9777,1.0,679,YNL021W,2,1.71e-08,True,6,5.75e-04,True,5,1.31e-05,True,13,1.71e-08,True
Complex_10,3,0.9738,1.0,118,YDL102W,6,1.71e-08,True,16,1.66e-06,True,15,7.73e-06,True,37,1.71e-08,True
Complex_10,3,0.9738,1.0,474,YJR006W,6,1.71e-08,True,16,1.66e-06,True,15,7.73e-06,True,37,1.71e-08,True
Complex_10,3,0.9738,1.0,478,YJR043C,6,1.71e-08,True,16,1.66e-06,True,15,7.73e-06,True,37,1.71e-08,True
Complex_11,5,0.9724,0.6,124,YDL143W,2,0.008861,True,0,0.345653,False,0,0.348774,False,2,0.008861,True
Complex_11,5,0.9724,0.6,810,YOR281C,2,0.008861,True,0,0.345653,False,0,0.348774,False,2,0.008861,True
Complex_11,5,0.9724,0.6,435,YIL142W,2,0.008861,True,0,0.345653,False,0,0.348774,False,2,0.008861,True
Complex_11,5,0.9724,0.6,498,YKL029C,2,0.008861,True,0,0.345653,False,0,0.348774,False,2,0.008861,True
Complex_11,5,0.9724,0.6,312,YGL195W,2,0.008861,True,0,0.345653,False,0,0.348774,False,2,0.008861,True
Complex_12,13,0.9688,0.0154,359,YGR218W,6,0.017033,True,1,0.044779,True,1,0.008429,True,8,0.008429,True
Complex_12,13,0.9688,0.0154,385,YHR020W,6,0.017033,True,1,0.044779,True,1,0.008429,True,8,0.008429,True
Complex_12,13,0.9688,0.0154,555,YLR180W,6,0.017033,True,1,0.044779,True,1,0.008429,True,8,0.008429,True
Complex_12,13,0.9688,0.0154,637,YMR012W,6,0.017033,True,1,0.044779,True,1,0.008429,True,8,0.008429,True
Complex_12,13,0.9688,0.0154,222,YEL022W,6,0.017033,True,1,0.044779,True,1,0.008429,True,8,0.008429,True
Complex_12,13,0.9688,0.0154,365,YGR240C,6,0.017033,True,1,0.044779,True,1,0.008429,True,8,0.008429,True
Complex_12,13,0.9688,0.0154,547,YLR106C,6,0.017033,True,1,0.044779,True,1,0.008429,True,8,0.008429,True
Complex_12,13,0.9688,0.0154,484,YJR077C,6,0.017033,True,1,0.044779,True,1,0.008429,True,8,0.008429,True
Complex_12,13,0.9688,0.0154,788,YOR151C,6,0.017033,True,1,0.044779,True,1,0.008429,True,8,0.008429,True
Complex_12,13,0.9688,0.0154,269,YFR009W,6,0.017033,True,1,0.044779,True,1,0.008429,True,8,0.008429,True
Complex_12,13,0.9688,0.0154,312,YGL195W,6,0.017033,True,1,0.044779,True,1,0.008429,True,8,0.008429,True
Complex_12,13,0.9688,0.0154,216,YDR502C,6,0.017033,True,1,0.044779,True,1,0.008429,True,8,0.008429,True
Complex_12,13,0.9688,0.0154,546,YLR075W,6,0.017033,True,1,0.044779,True,1,0.008429,True,8,0.008429,True
Complex_13,14,0.9675,0.7857,67,YBR253W,15,1.03e-22,True,41,1.72e-12,True,8,3.35e-18,True,64,1.03e-22,True
Complex_13,14,0.9675,0.7857,387,YHR041C,15,1.03e-22,True,41,1.72e-12,True,8,3.35e-18,True,64,1.03e-22,True
Complex_13,14,0.9675,0.7857,389,YHR058C,15,1.03e-22,True,41,1.72e-12,True,8,3.35e-18,True,64,1.03e-22,True
Complex_13,14,0.9675,0.7857,714,YNL236W,15,1.03e-22,True,41,1.72e-12,True,8,3.35e-18,True,64,1.03e-22,True
Complex_13,14,0.9675,0.7857,308,YGL151W,15,1.03e-22,True,41,1.72e-12,True,8,3.35e-18,True,64,1.03e-22,True
Complex_13,14,0.9675,0.7857,762,YOL135C,15,1.03e-22,True,41,1.72e-12,True,8,3.35e-18,True,64,1.03e-22,True
Complex_13,14,0.9675,0.7857,828,YPL042C,15,1.03e-22,True,41,1.72e-12,True,8,3.35e-18,True,64,1.03e-22,True
Complex_13,14,0.9675,0.7857,185,YDR308C,15,1.03e-22,True,41,1.72e-12,True,8,3.35e-18,True,64,1.03e-22,True
Complex_13,14,0.9675,0.7857,92,YCR081W,15,1.03e-22,True,41,1.72e-12,True,8,3.35e-18,True,64,1.03e-22,True
Complex_13,14,0.9675,0.7857,734,YNR010W,15,1.03e-22,True,41,1.72e-12,True,8,3.35e-18,True,64,1.03e-22,True
Complex_13,14,0.9675,0.7857,791,YOR174W,15,1.03e-22,True,41,1.72e-12,True,8,3.35e-18,True,64,1.03e-22,True
Complex_13,14,0.9675,0.7857,367,YGR252W,15,1.03e-22,True,41,1.72e-12,True,8,3.35e-18,True,64,1.03e-22,True
Complex_13,14,0.9675,0.7857,298,YGL112C,15,1.03e-22,True,41,1.72e-12,True,8,3.35e-18,True,64,1.03e-22,True
Complex_13,14,0.9675,0.7857,206,YDR448W,15,1.03e-22,True,41,1.72e-12,True,8,3.35e-18,True,64,1.03e-22,True
Complex_14,6,0.9664,1.0,5,YAL033W,11,1.43e-15,True,35,1.75e-11,True,13,2.96e-11,True,59,1.43e-15,True
Complex_14,6,0.9664,1.0,390,YHR062C,11,1.43e-15,True,35,1.75e-11,True,13,2.96e-11,True,59,1.43e-15,True
Complex_14,6,0.9664,1.0,724,YNL282W,11,1.43e-15,True,35,1.75e-11,True,13,2.96e-11,True,59,1.43e-15,True
Complex_14,6,0.9664,1.0,20,YBL018C,11,1.43e-15,True,35,1.75e-11,True,13,2.96e-11,True,59,1.43e-15,True
Complex_14,6,0.9664,1.0,710,YNL221C,11,1.43e-15,True,35,1.75e-11,True,13,2.96e-11,True,59,1.43e-15,True
Complex_14,6,0.9664,1.0,213,YDR478W,11,1.43e-15,True,35,1.75e-11,True,13,2.96e-11,True,59,1.43e-15,True
Complex_15,22,0.965,0.5,67,YBR253W,24,7.03e-20,True,49,8.47e-13,True,16,1.46e-18,True,89,7.03e-20,True
