YBL021C	YOR358W
YGL161C	YHR105W
YHR021C	YOR117W
YLR029C	YMR242C
YDR233C	YOR117W
YIL027C	YMR149W
YOL005C	YPL203W
YCR077C	YDL165W
YFL039C	YKL196C
YKL029C	YPL235W
YKL079W	YPR049C
YIL034C	YOR181W
YGL137W	YHR018C
YDL029W	YNL161W
YBR041W	YMR313C
YDR424C	YKR054C
YBR200W	YDR306C
YDL047W	YER155C
YFL048C	YOR316C
YDR381W	YDR510W
YKL203C	YPL249C
YGL227W	YLR377C
YDR099W	YGL252C
YHR107C	YPL240C
YCL011C	YDR138W
YCR014C	YGL157W
YNL118C	YOL149W
YHR209W	YLL039C
YHR135C	YNL272C
YHR094C	YKL065C
YBR093C	YGR282C
YBL032W	YGL237C
YBR102C	YBR200W
YMR165C	YPL031C
YER112W	YNL288W
YKL173W	YLL036C
YPL031C	YPR019W
YBL032W	YCL068C
YDR335W	YLR335W
YLR312C	YOL088C
YDR392W	YGR252W
YGL059W	YKR100C
YER105C	YKR082W
YDR138W	YEL060C
YNL014W	YOR117W
YDL066W	YGL187C
YBL007C	YNL152W
YDR188W	YOR212W
YKL161C	YPL031C
YDL037C	YNL197C
YAL032C	YGR071C
YLR028C	YNR034W
YBR049C	YPR152C
YJL092W	YKR048C
YBR194W	YML010W
YGL105W	YJL187C
YKR054C	YNL118C
YAL009W	YJL176C
YMR008C	YNL197C
YGL040C	YML064C
YGL207W	YPL141C
YML031W	YPL177C
YLL039C	YNL180C
YHR027C	YLR370C
YBL032W	YBR289W
YER029C	YML046W
YJR091C	YKL204W
YBR023C	YLR242C
YBR126C	YLL019C
YFL041W	YOL044W
YBR253W	YDR146C
YNL124W	YOL149W
YCR088W	YPL008W
YEL061C	YER012W
YLR385C	YOL012C
YER155C	YPL210C
YER029C	YKL173W
YLL039C	YPR075C
YDL044C	YLR139C
YNL094W	YOR244W
YBL007C	YCR088W
YNL135C	YPL049C
YIL109C	YML012W
YAL030W	YPR032W
YER032W	YMR117C
YGL137W	YLR100W
YDR089W	YKL049C
YIL035C	YMR173W
YOR244W	YPL110C
YLR212C	YNL188W
YDL100C	YML048W
YER105C	YLL039C
YHR033W	YOR212W
YCR093W	YDR293C
YLL011W	YML093W
YER146W	YPR184W
YHR094C	YIR038C
YLL039C	YPL048W
YBR130C	YLL039C
YGR089W	YLL039C
YKL049C	YNL055C
YDR244W	YNL329C
YCR030C	YKL049C
YFR017C	YGL059W
YLL039C	YMR054W
YLR116W	YNL197C
YDL123W	YGR163W
YBR159W	YNL279W
YIL079C	YML056C
YGL035C	YOR351C
YLL016W	YLR310C
YBR193C	YDR308C
YKL173W	YML046W
YLL039C	YNL012W
YBR193C	YOR192C
YJL187C	YPR139C
YLL039C	YNL074C
YKL051W	YLR413W
YDR212W	YJL164C
YHR135C	YNL055C
YHL048W	YPR028W
YDR298C	YKL016C
YIL027C	YJL117W
YJL140W	YPR187W
YBR159W	YHL048W
YAL021C	YDR443C
YBR135W	YLR109W
YJL101C	YML056C
YHR135C	YKL048C
YGR270W	YMR049C
YDR388W	YER127W
YDR099W	YOR117W
YKL060C	YNL127W
YCR081W	YGL151W
YAR019C	YPL240C
YDR252W	YPL037C
YLL039C	YLR219W
YHR091C	YOL088C
YLL008W	YPL141C
YLR011W	YOR028C
YFL039C	YLR337C
YKR024C	YLR233C
YKL104C	YLL039C
YER139C	YOL005C
YLR396C	YMR231W
YBR193C	YGL151W
YKL060C	YOR117W
YBR241C	YFL048C
YDR310C	YPR152C
YEL061C	YMR124W
YGL244W	YML010W
YCR091W	YNL045W
YDR021W	YNL271C
YLL040C	YML085C
YDR145W	YNL272C
YIR038C	YML012W
YBL032W	YBR230C
YHR123W	YPL240C
YBL045C	YDR388W
YDR295C	YJR112W
YBL003C	YKR092C
YDR288W	YLR007W
YBL078C	YLR093C
YDR063W	YFL039C
YDR145W	YJR060W
YLL039C	YML101C
YHR027C	YPR108W
YGL035C	YPL240C
YBR020W	YPL248C
YLL039C	YNL141W
YAL001C	YDR381W
YBL047C	YJR134C
YDR365C	YLR340W
YBR023C	YKR027W
YJR113C	YPL013C
YBL003C	YPL235W
YBL032W	YKL129C
YOR275C	YPR173C
YMR227C	YPL248C
YBL032W	YLL010C
YKL049C	YKR048C
YBR090C	YHR135C
YJL092W	YKR027W
YGR196C	YIL131C
YNL197C	YOR058C
YBR283C	YKL065C
YDR069C	YMR304W
YBR126C	YBR265W
YER034W	YHR135C
YFL038C	YHR027C
YKL064W	YPL031C
YDR479C	YLR324W
YKL064W	YNL307C
YDL188C	YPL235W
YOR054C	YPL031C
YGL181W	YHR161C
YGL207W	YOR052C
YJL020C	YJR115W
YHR135C	YNL167C
YFL039C	YOR117W
YHR183W	YHR200W
YHR200W	YNL239W
YER146W	YHR165C
YLL039C	YOR161C
YER032W	YHR114W
YHR027C	YMR099C
YGR132C	YNL055C
YDL029W	YLR337C
YFR052W	YGL048C
YDR212W	YKL049C
YLL039C	YML130C
YDR060W	YEL026W
YBR109C	YKR025W
YCL010C	YGR252W
YMR125W	YPR182W
YDR124W	YIL043C
YDR229W	YPR152C
YFR028C	YHR061C
YCR012W	YOR117W
YIL004C	YLR093C
YLL039C	YMR261C
YLR093C	YPL031C
YFL049W	YJL176C
YDR510W	YOR099W
YCR061W	YNL197C
YIL003W	YPL240C
YDR388W	YPL031C
YDL021W	YKL214C
YBR010W	YER142C
YER166W	YOR104W
YNL055C	YOR117W
YFL008W	YOL069W
YBR173C	YLR199C
YGL233W	YJL036W
YDL140C	YLR005W
YNR011C	YPL240C
YBR011C	YPL111W
YIL007C	YLR304C
YGL129C	YJR101W
YGL006W	YJL178C
YGL097W	YOL012C
YBL032W	YIL156W
YNL124W	YPL198W
YFR028C	YML064C
YGL141W	YLL039C
YGL048C	YML012W
YBL032W	YPR119W
YBR010W	YER147C
YIL043C	YLR150W
YDR022C	YJL165C
YGL250W	YLR082C
YGL137W	YIL136W
YDR143C	YPL240C
YHR200W	YNL302C
YDR496C	YLR029C
YER148W	YHR200W
YBR052C	YGR281W
YDR388W	YGL252C
YDR388W	YIL156W
YHR027C	YOR374W
YDL134C	YGR161C
YBR200W	YLR362W
YGR111W	YLL039C
YDR016C	YGR113W
YBL002W	YPL001W
YDL159W	YDR356W
YHL018W	YPL070W
YDR146C	YER015W
YMR315W	YNL135C
YOR244W	YPR023C
YCR077C	YGL173C
YHR200W	YLL039C
YOL091W	YOR373W
YBR173C	YPL031C
YDL028C	YIL144W
YBR010W	YOR290C
YBR020W	YML088W
YFR017C	YPL203W
YLR396C	YMR197C
YDR296W	YPL049C
YBR010W	YNL031C
YPL048W	YPL240C
YDL134C	YPL235W
YMR165C	YOR351C
YLR019W	YLR310C
YLL050C	YNL138W
YKL079W	YNL272C
YJL164C	YNR019W
YDL159W	YGR287C
YDL030W	YDR421W
YBL002W	YNL030W
YCL035C	YLL039C
YBL032W	YKL025C
YGL113W	YHL024W
YLR385C	YPL235W
YLR315W	YML056C
YDR039C	YLL039C
YBL003C	YDR052C
YIL051C	YPL085W
YER167W	YER177W
YDL214C	YMR165C
YGR238C	YOL069W
YKL049C	YPR091C
YBR098W	YDR386W
YPL248C	YPR086W
YAL034W-A	YOL069W
YGL099W	YOR244W
YDR510W	YKR025W
YER155C	YOL087C
YDL028C	YNL116W
YBL032W	YDR534C
YJL020C	YPL031C
YML057W	YPR108W
YDR510W	YOR374W
YAL027W	YPR171W
YLL039C	YMR207C
YHR027C	YOR117W
YIL107C	YLL039C
YMR288W	YPR182W
YDL059C	YER062C
YCR035C	YOR076C
YLL050C	YLR319C
YBL032W	YDR512C
YML085C	YOR136W
YGR294W	YPL240C
YBR194W	YNL138W
YBR193C	YDL005C
YLR153C	YOR117W
YDR028C	YER129W
YBR194W	YDL140C
YBR135W	YKR091W
YJR074W	YOR185C
YFL045C	YOR212W
YHR030C	YNL167C
YBR035C	YDL214C
YDL003W	YFL008W
YGR281W	YOR273C
YDL067C	YNL052W
YNL031C	YPR023C
YBR102C	YLL039C
YIL156W	YPR154W
YDR381W	YIR001C
YER062C	YKL069W
YDL143W	YHR200W
YBL032W	YIL051C
YER015W	YLR098C
YBL032W	YGR071C
YEL042W	YPL240C
YHR098C	YJR048W
YBR262C	YLL039C
YOR070C	YOR089C
YDR388W	YPL140C
YBR122C	YMR193W
YCR088W	YDR388W
YCR077C	YKL173W
YHR114W	YPR171W
YBR011C	YDR510W
YDL160C	YPR082C
YBR109C	YNR035C
YLL043W	YMR104C
YFL050C	YOL130W
YNL138W	YNR035C
YDR088C	YMR213W
YBR126C	YDR028C
YGL252C	YNL132W
YDL193W	YPL240C
YDR195W	YDR381W
YMR174C	YPL154C
YLL049W	YMR294W
YBR097W	YLR240W
YIL075C	YKL029C
YBL045C	YGR112W
YJL164C	YKL062W
YBL032W	YFR017C
YKL211C	YLL039C
YIR017C	YJR112W
YFR052W	YOR181W
YER148W	YPL049C
YNL197C	YOR052C
YKL171W	YPR160W
YBR200W	YJL187C
YHR165C	YPR082C
YGL190C	YPR154W
YGR205W	YKL168C
YLL039C	YML055W
YLL039C	YMR280C
YML010W	YOL005C
YBR241C	YIR038C
YLR413W	YNL197C
YKL095W	YMR213W
YBR020W	YMR117C
YGL205W	YLL039C
YLL039C	YLR078C
YBL032W	YJL140W
YBR122C	YMR024W
YLL039C	YOR163W
YEL009C	YFL024C
YDR032C	YHR001W
YER012W	YPR108W
YBR072W	YLL039C
YLR438W	YPL150W
YBL032W	YKR092C
YMR196W	YOR244W
YKR048C	YPR086W
YDL134C	YPL152W
YJL082W	YMR029C
YNL090W	YOR089C
YKL171W	YPL240C
YDR381W	YPL001W
YCR038C	YLR353W
YBR052C	YDR039C
YDR510W	YPL240C
YLL039C	YMR275C
YHR114W	YOR389W
YIL149C	YNL135C
YCL009C	YNL157W
YLR314C	YNL298W
YKL203C	YML052W
YGR052W	YNL076W
YBL032W	YER075C
YBL015W	YJR035W
YDR247W	YGL208W
YDR510W	YER032W
YBR130C	YJL164C
YER112W	YMR268C
YDR001C	YPL240C
YAL021C	YDR188W
YBR234C	YDL029W
YBL032W	YOR009W
YDR309C	YLR319C
YBR088C	YJR068W
YJL092W	YLL019C
YDL029W	YMR216C
YDL140C	YOR117W
YGR284C	YHL048W
YER029C	YMR213W
YBL007C	YER027C
YBR225W	YNL307C
YDR443C	YNR052C
YHR105W	YNL263C
YGR258C	YPL248C
YDR436W	YOR054C
YBR234C	YLR337C
YBR273C	YLL039C
YGL137W	YLL039C
YJL094C	YLL039C
YOR327C	YPL232W
YNL124W	YPL079W
YER029C	YPR182W
YKL145W	YOL117W
YDR188W	YPL150W
YHR140W	YMR279C
YIL105C	YKL051W
YNR011C	YOR148C
YBR046C	YLL039C
YER177W	YGL181W
YGR270W	YPL115C
YGR252W	YHR008C
YDL116W	YML031W
YDR342C	YMR049C
YMR032W	YOR181W
