T1	T2	T3	T4	T5	T6	T7	T8	T9	T10	T11	T12
YCR005C	1	1	1	0	0	0	0	0	1	1	1	1
YIL137C	1	1	0	1	1	0	0	0	1	1	1	1
YDL173W	1	1	1	1	1	1	1	0	0	0	0	0
YPL183C	0	0	0	1	1	1	1	1	1	1	1	1
YIL079C	0	0	1	1	1	1	1	1	1	1	1	1
YGR003W	1	0	0	1	1	1	1	1	1	0	1	0
YBR029C	1	1	1	1	0	0	0	1	0	1	1	1
YGR145W	1	0	0	1	1	1	1	1	1	1	1	1
YHR051W	1	1	1	1	1	0	0	0	0	1	1	1
YML016C	1	1	1	0	1	1	0	0	1	1	1	1
YDR214W	0	1	1	1	1	1	1	1	0	1	0	0
YGR167W	1	1	1	1	0	1	0	0	1	1	1	1
YOR353C	0	1	1	1	1	1	0	0	1	1	1	1
YCR079W	1	1	1	1	1	1	1	0	0	1	0	0
YDR505C	1	1	1	1	1	1	1	0	0	0	1	1
YER159C	0	1	1	1	1	1	1	1	1	0	0	0
YNL005C	1	1	0	0	0	0	0	0	1	1	1	1
YPL066W	0	1	1	1	1	1	0	0	0	1	0	1
YJR147W	0	0	0	1	1	0	0	1	1	1	1	1
YIR010W	1	1	1	0	0	0	0	1	1	1	1	1
YJL207C	1	1	0	1	1	1	0	0	1	1	0	1
YHR097C	1	1	1	1	1	1	1	0	0	0	0	0
YKR010C	1	0	1	0	0	0	1	0	1	1	1	1
YMR135C	1	1	1	1	1	1	0	0	1	0	1	0
YNR058W	1	0	1	0	0	0	1	1	1	1	1	1
YJR067C	0	0	0	0	1	1	1	1	1	1	1	1
YMR102C	0	1	1	1	1	1	1	1	0	0	0	0
YDR322W	1	1	0	0	0	0	0	0	1	1	1	1
YIL002C	1	1	0	1	1	1	1	0	0	1	1	1
YCR043C	1	0	0	0	0	0	0	1	1	1	1	1
YML036W	1	0	1	0	0	0	0	1	1	1	1	1
YDL015C	1	0	1	1	1	1	0	1	1	1	1	1
YDL216C	0	1	1	1	1	1	1	0	0	0	1	1
YOL058W	0	1	1	1	1	1	1	1	1	0	0	0
YDR053W	1	1	1	0	0	0	1	1	1	1	1	0
YJR010W	1	0	0	0	0	0	0	1	1	1	1	1
YDL047W	1	0	1	1	1	0	0	1	1	1	1	1
YJR121W	1	1	1	1	0	0	0	0	1	1	1	1
YOR021C	1	0	0	1	0	0	0	1	1	1	1	1
YPL105C	0	1	1	1	0	1	1	1	1	0	0	1
YPR045C	1	1	1	1	1	1	1	0	1	0	1	1
YDR404C	0	1	1	1	1	1	0	1	1	1	0	0
YKR068C	1	0	1	0	1	1	0	1	1	1	1	1
YOR090C	1	1	1	1	1	1	1	0	0	0	0	0
YOR172W	1	1	1	1	0	1	1	0	1	1	0	1
YOR322C	1	1	1	1	1	1	1	1	0	1	0	0
YBL099W	1	1	1	1	0	0	0	0	0	1	1	1
YMR276W	1	1	1	1	1	1	1	0	0	0	0	0
YNL229C	1	0	1	0	0	0	1	1	1	0	1	1
YDL109C	1	0	1	0	0	0	1	1	1	1	1	1
YOR299W	1	1	0	0	0	0	0	1	1	1	1	1
YLR291C	0	0	0	1	1	1	1	1	1	1	1	1
YDR229W	1	1	1	1	1	1	1	0	0	0	0	0
YMR004W	1	1	1	1	1	1	1	1	0	1	1	1
YNL030W	1	1	1	1	0	0	0	0	0	1	1	1
YOL154W	1	1	1	1	1	1	1	1	0	0	0	0
YBL035C	1	0	0	0	0	0	0	0	1	1	1	1
YLR439W	1	1	0	0	0	0	0	0	1	1	1	1
YDR365C	0	1	1	1	1	1	1	1	1	1	1	1
YHR064C	1	0	0	0	0	0	0	1	1	1	1	1
YBL058W	1	1	1	1	1	1	1	0	0	1	0	0
YHR070W	1	0	1	1	1	1	1	1	1	1	1	1
YJR110W	1	1	1	1	1	1	0	0	0	0	1	1
YMR154C	1	1	1	1	1	0	1	0	0	0	1	1
YDL059C	1	0	1	1	0	0	0	1	1	1	1	1
YFL007W	1	1	1	1	1	1	1	1	0	0	0	0
YKL088W	1	1	0	1	1	1	0	1	1	1	1	1
YKR101W	0	1	1	1	1	1	1	0	0	0	1	1
YDR098C	1	0	0	0	0	0	0	1	1	1	1	1
YLR079W	1	1	1	1	1	1	1	0	1	0	0	0
YDR019C	1	0	0	1	0	1	1	1	1	1	1	1
YGR286C	1	1	1	1	1	0	1	1	1	1	1	1
YER029C	0	1	1	1	1	1	0	1	1	1	0	1
YHR089C	1	0	0	0	0	0	1	1	1	1	1	1
YJL025W	1	1	1	0	1	1	1	1	1	1	1	1
YJL138C	1	0	0	0	1	1	1	1	1	1	1	1
YOR117W	1	1	1	1	1	1	1	1	0	0	0	0
YGL082W	1	1	1	1	0	0	1	0	0	1	1	1
YIL066C	0	1	0	1	1	1	1	1	0	0	0	0
YLR001C	1	1	1	1	1	1	1	0	1	0	0	0
YPL227C	0	0	1	0	0	0	0	1	1	1	1	1
YOR209C	1	0	0	0	0	0	1	1	1	1	1	1
YDL193W	1	1	1	1	1	1	1	0	0	0	0	0
YML095C	0	0	1	1	1	0	1	1	0	1	1	1
YLR360W	1	1	1	1	1	1	1	0	0	0	1	1
YDR383C	1	1	1	1	1	1	1	1	0	1	1	1
YDR516C	1	1	1	1	1	0	0	0	1	1	1	1
YAR019C	1	1	1	1	1	1	1	0	1	0	0	0
YOL143C	1	1	1	1	1	1	1	1	0	0	0	0
YCR020W-B	0	0	0	1	1	1	1	1	1	1	1	1
YDR370C	0	0	1	1	1	1	1	1	1	0	1	1
YDR121W	0	1	1	0	0	0	0	1	1	1	1	1
YBR255W	0	1	1	1	1	1	1	1	0	0	0	1
YPL152W	1	1	1	1	1	1	1	0	0	0	0	0
YER146W	1	1	1	0	0	0	0	1	1	1	1	1
YDR494W	1	1	1	1	0	0	0	0	1	1	1	1
YKL183W	1	1	1	1	1	0	1	1	1	0	0	1
YCR067C	1	1	1	0	0	0	0	1	1	1	1	1
YJL044C	0	1	1	1	1	1	1	1	1	0	0	0
YLR314C	1	1	1	1	0	0	0	0	1	1	1	1
YKL205W	0	0	1	0	1	1	0	1	1	1	1	1
YJL089W	0	1	1	1	1	1	1	0	0	0	0	0
YIR029W	1	0	0	0	0	0	1	1	1	1	1	1
YLR256W	0	1	1	1	1	1	1	1	1	0	0	0
YCR030C	1	1	1	1	1	1	1	0	0	0	0	0
YFL016C	1	1	0	1	0	1	1	0	1	1	1	1
YMR169C	0	1	1	1	1	1	1	1	0	0	0	0
YNL140C	1	0	0	1	1	1	0	1	1	1	1	1
YNL113W	0	0	1	1	1	1	1	1	1	0	1	1
YOR303W	0	1	1	1	1	1	1	1	0	0	0	0
YLR333C	0	0	1	1	1	1	1	1	1	1	1	1
YDL209C	0	0	1	1	1	1	1	1	1	0	1	0
YER001W	1	0	0	0	0	0	0	1	1	1	1	1
YMR079W	0	0	1	0	0	0	1	1	1	1	1	1
YPR010C	0	0	1	0	1	1	1	1	1	1	1	1
YOR287C	0	0	1	1	1	1	1	1	1	1	1	1
YOL118C	0	0	1	1	1	1	1	0	1	1	0	0
YIR022W	1	1	0	1	1	0	1	1	0	1	1	0
YGR006W	1	1	1	1	1	1	1	1	1	1	0	0
YLR127C	1	1	0	1	0	1	0	1	1	0	1	1
YLL027W	1	0	1	0	1	1	1	1	1	1	1	0
YBR028C	1	0	0	0	0	0	0	1	1	1	1	1
YNR036C	1	1	1	1	0	0	0	0	1	1	1	1
YOL011W	1	1	1	1	1	1	1	0	1	1	0	0
YPL042C	1	1	1	1	1	0	0	1	1	1	1	1
YPL177C	0	1	1	1	1	1	1	1	1	0	0	0
YPL002C	1	0	0	1	1	1	1	0	1	1	0	1
YLL004W	0	1	1	1	1	1	1	1	1	1	1	1
YBR148W	0	1	1	1	1	1	0	0	1	1	0	1
YML109W	1	1	1	0	0	0	1	0	1	1	1	1
YBR080C	1	0	1	1	0	1	1	0	1	1	1	1
YPL244C	1	0	0	0	0	0	1	1	1	1	1	1
YNR006W	1	1	1	1	0	1	1	1	1	0	0	0
YER040W	0	1	1	1	1	1	1	1	0	1	0	1
YGR030C	1	1	1	1	1	1	1	1	0	0	0	0
YNL243W	1	1	1	1	1	0	0	0	1	1	1	1
YAL067C	1	1	1	1	1	0	1	0	1	1	0	0
YJR066W	1	1	1	1	1	1	0	0	1	1	0	1
YLL056C	0	1	1	1	1	1	1	1	0	0	0	0
YOR310C	0	0	0	0	0	1	1	1	1	1	1	1
YPR194C	1	1	0	0	0	0	0	0	1	1	1	1
YPR117W	1	1	1	1	1	1	0	0	0	0	1	1
YMR301C	1	0	0	0	0	0	1	1	1	1	1	1
YPR018W	1	0	0	0	0	0	1	1	1	1	1	1
YBR115C	1	0	0	0	1	1	1	1	1	1	1	1
YGR209C	1	1	1	1	1	1	1	1	0	1	1	0
YKL173W	0	1	1	1	1	1	0	1	1	0	0	0
YJR120W	1	1	1	1	1	1	1	0	1	0	0	0
YDR213W	0	0	1	1	1	1	1	1	1	1	0	0
YBR125C	1	0	1	1	0	1	0	1	1	1	1	1
YLR312W-A	1	1	0	0	0	0	0	0	1	1	1	1
YDL127W	0	1	1	0	1	0	0	0	1	1	1	1
YBR245C	1	1	0	0	0	0	0	1	1	1	1	1
YJR134C	1	1	1	0	1	1	0	1	1	1	0	1
YKL019W	1	1	0	0	0	0	1	1	1	1	0	1
YNL027W	0	1	1	1	1	1	0	0	1	0	0	1
YHR102W	1	0	0	0	1	1	1	0	0	1	1	1
YGR245C	0	0	0	1	1	1	1	1	1	1	1	1
YJL164C	1	1	1	1	1	1	1	0	0	0	0	0
YIL078W	1	0	0	0	1	0	0	1	1	1	1	1
YGL240W	0	0	0	1	1	1	1	1	1	1	0	0
YFL017W-A	0	1	0	1	1	1	0	1	1	0	1	1
YHR040W	0	0	1	1	1	1	1	1	1	1	1	1
YLR417W	1	1	1	1	1	1	1	0	0	0	1	1
YNL125C	1	1	1	1	1	1	1	1	0	0	0	0
YKL095W	1	0	1	1	1	1	1	1	1	1	0	0
YOL146W	1	1	1	1	0	0	0	1	1	1	1	1
YMR304W	1	1	1	1	1	1	1	0	0	0	0	0
