	T1	T2	T3	T4	T5	T6	T7	T8	T9	T10	T11	T12
YER131W	1	0	0	0	0	1	1	1	1	1	1	1
YML010W	1	1	1	1	1	1	1	1	1	0	0	0
YOR264W	0	1	1	1	1	1	1	1	0	0	0	0
YHR008C	1	1	1	1	1	1	1	0	0	0	0	0
YGR198W	1	1	0	0	0	0	0	1	1	1	1	1
YBR088C	1	0	1	0	0	0	0	0	1	1	1	1
YKR007W	1	0	1	0	1	1	1	0	1	1	1	1
YIL027C	1	1	0	1	1	1	1	0	0	1	1	1
YHR060W	1	1	0	0	1	0	0	1	1	1	1	1
YBL005W	1	0	0	0	1	1	1	1	1	1	0	1
YKL074C	0	1	1	1	1	1	1	1	1	0	0	0
YNL061W	0	0	1	1	1	1	1	1	1	1	1	1
YML123C	1	1	1	1	0	0	0	1	1	1	1	1
YDR109C	0	1	1	1	1	1	1	1	1	0	0	0
YBL002W	1	1	1	0	0	0	0	0	1	1	1	1
YDR523C	1	1	0	0	0	1	1	0	1	1	1	1
YOL103W	0	1	1	0	0	0	1	1	1	1	1	1
YPR165W	0	1	1	1	0	1	0	0	1	1	1	1
YJL210W	1	1	1	1	1	1	1	1	0	0	0	0
YPR102C	1	0	1	1	0	1	1	1	1	1	1	1
YLR181C	1	1	1	1	1	1	1	1	0	0	1	0
YHL012W	1	1	1	1	1	1	1	0	1	0	0	0
YHR110W	1	1	1	1	1	1	1	0	0	1	1	0
YGR028W	1	1	0	0	1	0	0	0	1	1	1	1
YDR103W	1	1	1	1	1	1	1	1	1	0	0	1
YJL154C	0	1	1	1	1	1	1	1	0	0	0	0
YBR188C	0	0	1	1	1	1	1	1	1	1	1	1
YHR033W	1	1	1	1	1	1	1	0	1	1	1	1
YFR010W	0	0	1	1	1	1	1	0	0	1	1	1
YEL024W	1	1	1	1	0	0	0	0	1	1	1	1
YKR082W	1	0	1	0	0	0	1	1	1	1	1	1
YPL151C	0	1	1	1	1	1	1	1	1	0	0	0
YLR121C	1	0	1	0	1	0	1	1	1	1	1	1
YFL056C	1	1	1	1	0	1	1	0	0	0	1	1
YBR155W	0	0	1	1	1	1	1	1	1	1	1	1
YOR190W	0	1	1	1	1	1	0	0	1	1	0	1
YMR260C	0	0	0	1	0	1	0	1	1	1	1	1
YDR164C	1	1	0	1	0	1	1	1	0	1	0	1
YIR014W	1	1	1	1	1	1	1	0	0	0	0	0
YKR027W	1	1	1	1	1	0	0	0	1	1	1	1
YDR332W	1	1	1	1	0	0	0	0	1	1	1	1
YOR076C	1	1	1	1	1	1	1	1	1	0	0	0
YLR180W	1	0	0	0	0	0	0	1	1	1	1	1
YNR021W	1	1	1	1	1	0	0	1	1	1	1	0
YHR018C	1	1	1	1	1	1	1	1	0	0	1	1
YCR005C	1	1	1	0	0	0	0	0	1	1	1	1
YIL137C	1	1	0	1	1	0	0	0	1	1	1	1
YDL173W	1	1	1	1	1	1	1	0	0	0	0	0
YBR297W	1	1	1	1	0	0	0	0	1	1	1	1
YMR179W	1	1	1	0	0	0	0	0	1	1	1	1
YPL183C	0	0	0	1	1	1	1	1	1	1	1	1
YIR024C	1	1	0	0	1	0	1	0	1	1	1	1
YOR292C	1	1	1	1	1	1	1	0	0	1	0	0
YCR061W	1	1	1	1	1	1	1	1	0	0	0	0
YPL112C	1	1	1	0	0	0	1	1	1	1	1	1
YIL079C	0	0	1	1	1	1	1	1	1	1	1	1
YGR003W	1	0	0	1	1	1	1	1	1	0	1	0
YBR029C	1	1	1	1	0	0	0	1	0	1	1	1
YBR200W	1	1	1	1	0	1	0	1	1	0	1	1
YGR145W	1	0	0	1	1	1	1	1	1	1	1	1
YHR051W	1	1	1	1	1	0	0	0	0	1	1	1
YML016C	1	1	1	0	1	1	0	0	1	1	1	1
YHL020C	1	1	1	1	1	1	1	1	0	0	1	1
YDR214W	0	1	1	1	1	1	1	1	0	1	0	0
YGR167W	1	1	1	1	0	1	0	0	1	1	1	1
YOR353C	0	1	1	1	1	1	0	0	1	1	1	1
YGL147C	0	0	0	1	0	1	1	1	1	1	1	1
YCR079W	1	1	1	1	1	1	1	0	0	1	0	0
YDR505C	1	1	1	1	1	1	1	0	0	0	1	1
YOL147C	1	1	1	1	1	1	1	1	0	0	0	0
YER159C	0	1	1	1	1	1	1	1	1	0	0	0
YNL005C	1	1	0	0	0	0	0	0	1	1	1	1
YPL066W	0	1	1	1	1	1	0	0	0	1	0	1
YMR220W	1	1	1	1	0	0	0	1	1	0	1	1
