File Name	Fitness Score	Protein Count	Interaction Count
collins_1	0.8048076923076923	659	2289
collins_2	0.8041825095057035	649	2350
collins_3	0.8034351145038168	644	2104
collins_4	0.8025657071339174	677	2533
collins_5	0.802434456928839	680	2646
collins_6	0.801129234629862	645	2361
collins_7	0.8008849557522124	663	2418
collins_8	0.8006289308176101	687	2484
collins_9	0.7999371859296482	662	2406
collins_10	0.7997432605905006	631	2011
collins_11	0.7996277915632755	687	2536
collins_12	0.7994402985074627	657	2419
collins_13	0.799367088607595	676	2478
collins_14	0.7991071428571429	639	2385
collins_15	0.7987959442332065	654	2316
collins_16	0.7987730061349694	655	2388
collins_17	0.7986618004866181	691	2353
collins_18	0.7986453201970444	682	2379
collins_19	0.7985842985842986	644	2305
collins_20	0.7985166872682324	688	2769
collins_21	0.798397435897436	647	2286
collins_22	0.7982954545454546	660	2422
collins_23	0.7981366459627329	654	2506
collins_24	0.7980049875311721	667	2663
collins_25	0.7975888324873096	644	2300
collins_26	0.797544080604534	661	2357
collins_27	0.7974877450980392	697	2594
collins_28	0.7972797927461139	654	2091
collins_29	0.7972541507024266	653	2291
collins_30	0.7972292191435768	667	2409
